type,zavid,matzavid,maticna,region,municipality,name,address,post,post.office,openstreetmap,slid,phone,fax,email,website,geo.lat,geo.lon
OS,330,330,5085012000,ms,Ljutomer,Osnovna šola Ivana Cankarja Ljutomer,Cankarjeva cesta 10,9240,Ljutomer,,,02 584 43 00,02 584 43 11,tajnistvo@osicl.si,http://www.osicljutomer.si,46.51599,16.19504
OS,709,330,5085012002,ms,Ljutomer,Osnovna šola Ivana Cankarja Ljutomer Podružnica Cven,Cven 3 C,9240,Ljutomer,,,02 581 11 01,,darja.kosic@guest.arnes.si,,46.54943,16.21153
OS,329,329,5084628000,ms,Ljutomer,Osnovna šola Janka Ribiča Cezanjevci,Cezanjevci 39,9240,Ljutomer,,,02 580 11 15,02 580 14 45,o-jrcezanj.ms@guest.arnes.si,http://www.o-cezanjevci.ms.edus.si/,46.51979,16.15071
OS,333,333,5084610000,ms,Ljutomer,Osnovna šola Mala Nedelja,Mala Nedelja 37,9243,Mala Nedelja,,,02 585 81 70,02 585 81 80,o-mnedelja.ms@guest.arnes.si,http://www2.arnes.si/~omnedeljams/,46.52535,16.05486
OS,328,328,5085004000,ms,Ljutomer,Osnovna šola Stročja vas,Stročja vas 101,9240,Ljutomer,,,"02 584 86 10, 02 584 86 11",02 584 86 10,o-strocjavas.ms@guest.arnes.si,http://www.o-strocjavas.si,46.50878,16.22352
OS,1234,1234,5912792000,lj,Logatec,Osnovna šola Rovte,Rovte 90 A,1373,Rovte,,,"01 750 30 24, 01 750 30 19, 01 750 30 25",01 7503018,group1.osljrov@guest.arnes.si,http://www.osrovte.si,45.98568,14.17495
OS,1238,1234,5912792001,lj,Logatec,Osnovna šola Rovte Podružnica Vrh Svetih treh kraljev,Vrh Sv. Treh Kraljev 19,1373,Rovte,,64020,01 750 10 01,,mitja.turk@guest.arnes.si,,46.01173,14.17442
OS,335,335,5085071000,lj,Logatec,Osnovna šola Tabor Logatec,Tržaška cesta 150,1370,Logatec,,,01 759 08 50,01 759 08 60,o-tablog.lj@guest.arnes.si,http://www.os-tabor.si,45.90934,14.20212
OS,731,335,5085071001,lj,Logatec,Osnovna šola Tabor Logatec Podružnica Hotedršica,Hotedršica 120,1372,Hotedršica,,,01 755 90 12,,o-tablog.lj@guest.arnes.si,http://www.os-tabor.si/hotedrsica,45.92674,14.14296
OS,732,335,5085071002,lj,Logatec,Osnovna šola Tabor Logatec Podružnica Rovtarske Žibrše,Rovtarske Žibrše 10,1373,Rovte,,,01 750 11 92,,o-tablog.lj@guest.arnes.si,http://www.os-tabor.si/rzibrse,45.96289,14.16813
OS,334,334,5084687000,lj,Logatec,Osnovna šola 8 talcev Logatec,Notranjska cesta 3,1370,Logatec,,64010,01 7590 060,01 759 0056,osnovna.sola@8talcev.si,http://www.8talcev.si,45.91612,14.22967
OS,730,334,5084687001,lj,Logatec,Osnovna šola 8 talcev Logatec Podružnica Laze,Laze 57,1370,Logatec,,64011,01 754 48 80,,metka.rupnik@guest.arnes.si,,45.85908,14.26729
OS,534,534,5207045000,lj,Log-Dragomer,Osnovna šola Log - Dragomer,Šolska ulica 1,1351,Brezovica pri Ljubljani,,140020,01 757 13 20,01 757 13 33,group1.osljlog@guest.arnes.si,http://www.osld.si/,46.01330,14.37678
OS,148,148,5089891000,po,Loška dolina,Osnovna šola heroja Janeza Hribarja Stari trg pri Ložu,Cesta Notranjskega odreda 32,1386,Stari trg pri Ložu,,65010,01 707 12 50,01 707 12 60,os.h-janeza-hribarja@guest.arnes.si,http://www2.arnes.si/~osljjh4/,45.71271,14.47288
OS,705,148,5089891001,po,Loška dolina,"Osnovna šola heroja Janeza Hribarja Stari trg pri Ložu, Podružnica Iga vas",Iga vas 1,1386,Stari trg pri Ložu,,,01 707 12 63,,sonja.jozelj@guest.arnes.si,http://www2.arnes.si/~osljjh4/,45.69369,14.48279
OS,448,448,5087422000,nm,Loški Potok,Osnovna šola dr. Antona Debeljaka Loški Potok,Hrib-Loški Potok 101,1318,Loški Potok,,66010,01 836 70 10,01 836 72 53,os-loskipotok@guest.arnes.si,http://www.os-loskipotok.si,45.70064,14.59078
OS,1203,1203,5085179000,mb,Lovrenc na Pohorju,Osnovna šola Lovrenc na Pohorju,Šolska ulica 6,2344,Lovrenc na Pohorju,,,02 630 00 20,02 630 00 27,o-lovrenc.mb@guest.arnes.si,http://www.oslovrenc.si/,46.54089,15.38765
OS,341,341,5085551000,ce,Luče,Osnovna šola Blaža Arniča Luče,Luče 77,3334,Luče,,,"03 584 40 01, 03 777 84 20",03 777 84 46,os-luce@guest.arnes.si,http://www.os-luce.si,46.35569,14.74554
OS,157,157,5082790000,lj,Lukovica,Osnovna šola Janka Kersnika Brdo,Brdo pri Lukovici 5,1225,Lukovica,,68010,01 723 50 20,01 723 50 36,osjkbrdo@guest.arnes.si,http://www2.arnes.si/~osljjk1s/,46.16890,14.68654
OS,671,157,5082790001,lj,Lukovica,"Osnovna šola Janka Kersnika Brdo, Podružnična šola Blagovica",Blagovica 33,1223,Blagovica,,,01 723 50 93,,zdenka.pengal@guest.arnes.si,,46.17566,14.80271
OS,672,157,5082790003,lj,Lukovica,"Osnovna šola Janka Kersnika Brdo, Podružnična šola Krašnja",Krašnja 14 A,1225,Lukovica,,,01 723 40 56,01 723 40 56,zdenka.pengal@guest.arnes.si,,46.16803,14.74783
OS,422,422,5087074000,mb,Majšperk,Osnovna šola Majšperk,Majšperk 32 B,2322,Majšperk,https://www.openstreetmap.org/way/229430474,,02 795 01 42,02 795 01 49,os.majsperk@guest.arnes.si,http://www2.arnes.si/~omajsperkmb/,46.34847,15.73511
OS,767,422,5087074002,mb,Majšperk,Osnovna šola Majšperk Podružnica Ptujska gora,Ptujska Gora 74,2323,Ptujska gora,,,02 794 83 11,,os.majsperk@guest.arnes.si,http://www2.arnes.si/~omajsperkmb,46.35385,15.76132
OS,768,422,5087074003,mb,Majšperk,Osnovna šola Majšperk Podružnica Stoperce,Stoperce 12,2289,Stoperce,,,02 770 04 91,,os.majsperk@guest.arnes.si,http://www2.arnes.si/~omajsperkmb,46.28944,15.71624
OS,476,476,5087651000,mb,Makole,Osnovna šola Anice Černejeve Makole,Makole 24,2321,Makole,,,"02 803 31 00, 02 803 31 01",02 803 31 05,info@os-makole.si,http://os-makole.si/,46.31796,15.66804
OS,560,560,5085187000,mb,Maribor,Osnovna šola Angela Besednjaka Maribor,Celjska ulica 11,2000,Maribor,,,02 450 10 90,02 450 10 91,group1.osmbab@guest.arnes.si,http://www.o-abesednjaka.mb.edus.si/,46.54507,15.64527
OS,557,557,5085110000,mb,Maribor,Osnovna šola Bojana Ilicha Maribor,Mladinska ulica 13,2000,Maribor,,,02 228 34 40,02 228 34 49,tajnistvo@osbi.si,http://www.osbi.si,46.56283,15.64483
OS,558,558,5197449000,mb,Maribor,"Osnovna šola ""Borcev za severno mejo"" Maribor",Borcev za severno mejo 16,2000,Maribor,,,"02 320 00 50, 02 320 00 51",03 320 00 48,tajnistvo.osmbbsm@guest.arnes.si,http://www.os-borcev.si/,46.54855,15.65929
OS,559,559,5085080000,mb,Maribor,Osnovna šola bratov Polančičev Maribor,Prešernova ulica 19,2000,Maribor,,,02 250 51 40,02 250 51 41,info@osbp.si,http://www.osbp.si,46.56407,15.65107
OS,564,564,5085250000,mb,Maribor,Osnovna šola Draga Kobala Maribor,Tolstojeva ulica 3,2000,Maribor,,,02 471 68 32,02 471 68 31,info@os-dragakobala.si,http://www.os-dragakobala.si/,46.54793,15.67025
OS,934,564,5085250001,mb,Maribor,"Osnovna šola Draga Kobala Maribor, Podružnična šola Brezje",Na trati 4,2000,Maribor,,,02 471 06 89,,draga.kobala@siol.net,,46.53606,15.68704
OS,565,565,5085837000,mb,Maribor,Osnovna šola Franca Rozmana - Staneta Maribor,Kersnikova ulica 10,2000,Maribor,,,02 250 43 00,02 250 43 11,info@o-frs.mb.edus.si,http://www.o-frs.mb.edus.si,46.56408,15.65547
OS,943,565,5085837001,mb,Maribor,Osnovna šola Franca Rozmana - Staneta Maribor Podružnična šola Ivana Cankarja Košaki,Šentiljska cesta 41 A,2000,Maribor,,,02 250 05 80,,milena.skerget@guest.arnes.si,http://os-podruznica-frsmb.splet.arnes.si/?page_id=550,46.57261,15.65746
OS,556,556,5085195000,mb,Maribor,Osnovna šola Franceta Prešerna Maribor,Žolgarjeva ulica 2,2000,Maribor,,,02 320 69 50,02 320 69 63,os-f.preserna-mb@guest.arnes.si,http://www.o-fpreserna.mb.edus.si/,46.55037,15.63955
OS,933,556,5085195001,mb,Maribor,"Osnovna šola Franceta Prešerna Maribor, Podružnica Stane Lenardon Razvanje",Razvanjska cesta 66,2000,Maribor,,,02 331 14 14,,marta.otic@guest.arnes.si,,46.51310,15.63485
OS,561,561,5085217000,mb,Maribor,Osnovna šola Janka Padežnika Maribor,Iztokova ulica 6,2000,Maribor,,,02 421 32 50,02 421 32 60,o-jp.mb@guest.arnes.si,http://www.padeznik-mojasola.si/,46.55754,15.62727
OS,581,581,5086710000,mb,Maribor,Osnovna šola Kamnica,Vrbanska cesta 93,2351,Kamnica,,,02 624 08 50,02 624 08 60,o-kamnica.mb@guest.arnes.si,http://www.os-kamnica.si,46.57192,15.61741
OS,604,604,5610494000,mb,Maribor,Osnovna šola Leona Štuklja Maribor,Klinetova ulica 18,2000,Maribor,,,02 420 64 11,02 420 64 01,osleonastuklja@guest.arnes.si,http://www.os-leon.si,46.54014,15.62399
OS,568,568,5086728000,mb,Maribor,Osnovna šola Ludvika Pliberška Maribor,Lackova cesta 4,2000,Maribor,,,02 421 28 02,02 421 28 12,tajnistvo-ludvika.mb@guest.arnes.si,http://www.ludvik.si/,46.53702,15.61909
OS,563,563,5085209000,mb,Maribor,Osnovna šola Maksa Durjave Maribor,Ruška cesta 15,2000,Maribor,,,02 330 47 02,02 330 47 03,os-maksa.durjave@guest.arnes.si,http://www.o-md.mb.edus.si,46.55489,15.64139
OS,554,554,5206634000,mb,Maribor,Osnovna šola Malečnik,Malečnik 61,2229,Malečnik,,,02 471 68 70,02 471 68 70,marjanca.nekrep@guest.arnes.si,http://www2.arnes.si/~osmbmale2/,46.55495,15.69997
OS,555,555,5085268000,mb,Maribor,Osnovna šola Martina Konšaka Maribor,Prekmurska ulica 67,2000,Maribor,,,02 450 38 00,02 450 38 12,info@konsak.si,http://www.konsak.si/,46.53504,15.67334
OS,553,553,5085101000,mb,Maribor,Osnovna šola Prežihovega Voranca Maribor,Gosposvetska cesta 10,2000,Maribor,,,02 234 15 50,02 234 15 61,info@o-pvoranca.edus.si,http://www.o-pvoranca.mb.edus.si/,46.56108,15.63962
OS,580,580,5085845000,mb,Maribor,Osnovna šola Rada Robiča Limbuš,Limbuška cesta 62,2341,Limbuš,,70200,02 614 08 50,02 614 08 60,o-rrlimbus.mb@guest.arnes.si,http://www.oslimbus.si/,46.55633,15.57926
OS,567,567,5085322000,mb,Maribor,Osnovna šola Slave Klavore Maribor,Štrekljeva ulica 31,2000,Maribor,,,02 450 20 00,02 450 20 09,os.slave-klavore@guest.arnes.si,http://www.solaklavora.si,46.53571,15.66757
OS,603,603,5610508000,mb,Maribor,Osnovna šola Tabor I Maribor,Ulica Arnolda Tovornika 21,2000,Maribor,,189011,02 330 09 72,02 330 09 89,projekt1.osmbtabi@guest.arnes.si,http://www.os-tabor1.si/,46.53663,15.63006
OS,562,562,5085284000,mb,Maribor,Osnovna šola Toneta Čufarja Maribor,Zrkovska cesta 67,2000,Maribor,,61360,02 471 68 50,02 471 68 55,os-tcufarja.mb@guest.arnes.si,http://www.cufar.si,46.55598,15.67174
OS,21915,21915,6651518000,mb,Maribor,Waldorfska šola Maribor,Valvasorjeva ulica 75,2000,Maribor,,,02 251 63 34,,waldorf@amis.net,,46.55588,15.63047
OS,21875,21875,5921449003,mb,Maribor,"Zavod Antona Martina Slomška Maribor, Osnovna šola Montessori",Vrbanska cesta 30,2000,Maribor,,,059 092 100,,stanka.cremoznik@z-ams.si,,46.56883,15.63457
OS,417,417,5087104000,mb,Markovci,Osnovna šola Markovci,Markovci 33 D,2281,Markovci,,,02 766 00 41,02 766 01 81,info@os-markovci.net,http://www.os-markovci.net/,46.39520,15.93230
OS,307,307,5222575000,lj,Medvode,Osnovna šola Medvode,Ostrovrharjeva ulica 4,1215,Medvode,,,01 361 27 27,01 361 92 93,os.medvode@guest.arnes.si,http://www.os-medvode.si/,46.14548,14.40661
OS,309,309,5084393000,lj,Medvode,Osnovna šola Pirniče,Zgornje Pirniče 37 B,1215,Medvode,,,"01 362 11 40, 01 362 31 10",01 362 11 40,sola-pirnice.osljpi@guest.arnes.si,http://www.os-pirnice.si,46.14053,14.43305
OS,308,308,5084334000,lj,Medvode,Osnovna šola Preska,Preška cesta 22,1215,Medvode,,,01 361 26 36,01 361 71 25,o-preska.lj@guest.arnes.si,http://www.os-preska.si/,46.13301,14.41042
OS,965,308,5084334001,lj,Medvode,"Osnovna šola Preska, Podružnica Sora",Sora 11,1215,Medvode,,71031,01 361 11 44,,primoz.jurman@guest.arnes.si,,46.14220,14.37279
OS,747,308,5084334002,lj,Medvode,"Osnovna šola Preska, Podružnica Topol",Topol pri Medvodah 17,1215,Medvode,,71032,01 361 11 86,,primoz.jurman@guest.arnes.si,,46.09365,14.36891
OS,310,310,5084385000,lj,Medvode,Osnovna šola Simona Jenka,Smlednik 73,1216,Smlednik,,,01 361 93 20,01 361 93 20,Marko.valencic@guest.arnes.si,http://www.ossjsmlednik.si,46.16747,14.43052
OS,164,164,5082820000,lj,Mengeš,Osnovna šola Mengeš,Šolska ulica 11,1234,Mengeš,,,01 724 76 10,01 724 76 18,o-menges.lj@guest.arnes.si,http://www.osmenges.si,46.16644,14.56860
OS,336,336,5088925000,nm,Metlika,Osnovna šola Metlika,Šolska ulica 7,8330,Metlika,,,07 396 11 60,07 369 11 70,os.metlika1@guest.arnes.si,http://www.osmetlika.si/,45.65461,15.31403
OS,710,336,5088925001,nm,Metlika,"Osnovna šola Metlika, Podružnična šola Suhor",Dolnji Suhor pri Metliki 2,8331,Suhor,,,07 305 00 38,07 305 00 38,joze.mozetic@guest.arnes.si,,45.68876,15.27424
OS,338,338,5085543000,nm,Metlika,Osnovna šola Podzemelj,Podzemelj 11 A,8332,Gradac,,,07 369 17 00,07 369 17 10,info@ospodzemelj.si,http://ospodzemelj.si/,45.61004,15.27030
OS,443,443,5087376000,sg,Mežica,Osnovna šola Mežica,Partizanska cesta 16,2392,Mežica,,,02 62 11 800,02 62 11 813,o-mezica.mb@guest.arnes.si,,46.51842,14.85335
OS,576,576,5085276000,mb,Miklavž na Dravskem polju,Osnovna šola Miklavž na Dravskem polju,Cesta v Dobrovce 21,2204,Miklavž na Dravskem polju,,,02 629 02 40,02 629 02 41,sola-miklavz@guest.arnes.si,http://www.sola-miklavz.si,46.49911,15.70293
OS,935,576,5085276001,mb,Miklavž na Dravskem polju,Osnovna šola Miklavž na Dravskem polju Podružnica Dobrovce,Šolska ulica 1,2204,Miklavž na Dravskem polju,,169011,02 629 17 25,02 629 02 41,sola-miklavz@guest.arnes.si,http://www.sola-miklavz.si/,46.48090,15.70245
OS,368,368,5085829000,ng,Miren-Kostanjevica,Osnovna šola Miren,Miren 140,5291,Miren,,75010,05 330 24 70,05 330 24 81,os-miren@os-miren.si,http://www.os-miren.si/,45.89132,13.60472
OS,926,368,5085829001,ng,Miren-Kostanjevica,"Osnovna šola Miren, Podružnica Bilje",Bilje 185,5292,Renče,,,05 301 13 53,,,http://www.os-miren.si,45.89390,13.63464
OS,927,368,5085829002,ng,Miren-Kostanjevica,"Osnovna šola Miren, Podružnica Kostanjevica",Kostanjevica na Krasu 66,5296,Kostanjevica na Krasu,,75012,05 308 02 50,,danijela.kosovelj@guest.arnes.si,,45.84412,13.64488
OS,517,517,5090083000,nm,Mirna,Osnovna šola Mirna,Cesta na Fužine 1,8233,Mirna,,,07 343 51 60,07 343 51 70,o-mirna.nm@guest.arnes.si,http://www.os-mirna.si/,45.95165,15.06076
OS,380,380,5086256000,nm,Mirna Peč,Osnovna šola Toneta Pavčka,Postaja 1,8216,Mirna Peč,,170010,07 307 87 20,07 307 80 18,o-mirnapec.nm@guest.arnes.si,http://www.osmirnapec.si,45.86264,15.09183
OS,467,467,5087589000,sg,Mislinja,Osnovna šola Mislinja,Šentilj pod Turjakom 1,2382,Mislinja,,,"02 885 66 10, 02 885 66 13",02 885 66 20,o-mislinja.mb@guest.arnes.si,,46.44781,15.19201
OS,808,467,5087589001,sg,Mislinja,Osnovna šola Mislinja Podružnica Dolič,Srednji Dolič 4,2382,Mislinja,,76011,02 885 66 32,,,,46.42082,15.21726
OS,515,515,5088062000,nm,Mokronog-Trebelno,Osnovna šola Mokronog,Gubčeva cesta 4,8230,Mokronog,,,07 349 82 20,07 349 82 30,os.mokronog@guest.arnes.si,http://www.osmokronog.si/,45.94317,15.13978
OS,854,515,5088062002,nm,Mokronog-Trebelno,Osnovna šola Mokronog Podružnica Trebelno,Trebelno 43,8231,Trebelno,,199011,07 349 82 24,,zvonka.kostrevc@guest.arnes.si,,45.91143,15.14929
OS,167,167,5082838000,lj,Moravče,Osnovna šola Jurija Vege,Vegova ulica 38,1251,Moravče,,77010,"01 723 10 03, 01 723 12 10",01 723 10 03,o-jvmoravce.lj@guest.arnes.si,http://www.osmoravce.si,46.13824,14.74631
OS,673,167,5082838001,lj,Moravče,"Osnovna šola Jurija Vege, Podružnična šola Vrhpolje",Vrhpolje pri Moravčah 32,1251,Moravče,,,01 723 12 33,01 723 12 33,nusa.pohlin@guest.arnes.si,http://www.osmoravce.si,46.12638,14.71198
OS,348,348,5243289000,ms,Moravske Toplice,Dvojezična osnovna šola Prosenjakovci,Prosenjakovci 97 C,9207,Prosenjakovci - Pártosfalva,,,02 544 10 30,02 544 10 15,dos-prosenjakovci@guest.arnes.si,,46.74485,16.30669
OS,350,350,5088976000,ms,Moravske Toplice,Osnovna šola Bogojina,Bogojina 134,9222,Bogojina,,,02 547 90 81,02 547 90 87,group1.osmsbo@guest.arnes.si,http://www.osbogojina.si,46.67699,16.27710
OS,349,349,5085624000,ms,Moravske Toplice,Osnovna šola Fokovci,Fokovci 32,9208,Fokovci,,,02 544 90 20,02 544 90 21,osmsfo1s@guest.arnes.si,http://www.o-fokovci.si,46.73200,16.26843
OS,339,339,5088950000,ce,Mozirje,Osnovna šola Mozirje,Šolska ulica 23,3330,Mozirje,,,"03 839 27 30, 839 27 33",03 839 27 40,o-mozirje.ce@guest.arnes.si,http://sola.os-mozirje.si/,46.33531,14.95599
OS,715,339,5088950004,ce,Mozirje,"Osnovna šola Mozirje, Podružnica Šmihel",Šmihel nad Mozirjem 28,3330,Mozirje,,91021,03 583 14 92,,anton.venek@guest.arnes.si,,46.37708,14.95316
OS,343,343,5088968000,ms,Murska Sobota,Osnovna šola Bakovci,Poljska ulica 2,9000,Murska Sobota,,,02 543 90 30,02 543 90 35,info@osbakovci.si,http://www.osbakovci.si/,46.61702,16.14885
OS,634,634,5640245000,ms,Murska Sobota,Osnovna šola I Murska Sobota,Ulica Štefana Kovača 32,9000,Murska Sobota,,,02 521 13 42,02 521 13 42,oims@guest.arnes.si,http://www.osena.si,46.66137,16.15565
OS,635,635,5640270000,ms,Murska Sobota,Osnovna šola II Murska Sobota,Cankarjeva ulica 91,9000,Murska Sobota,,,02 530 84 20,02 530 84 26,os2.ms@guest.arnes.si,http://www.os2ms.si,46.65695,16.15795
OS,781,635,5640270001,ms,Murska Sobota,"Osnovna šola II Murska Sobota, Podružnična šola Krog",Trubarjeva ulica 77,9000,Murska Sobota,,80021,02 521 30 13,,,,46.63342,16.13790
OS,636,636,5640261000,ms,Murska Sobota,Osnovna šola III Murska Sobota,Trstenjakova ulica 73,9000,Murska Sobota,,,02 522 34 40,02 522 34 60,o-3.ms@guest.arnes.si,http://os3ms.si/joomla/,46.65455,16.16899
OS,24415,636,5642574015,ms,Murska Sobota,"Waldorfska šola Ljubljana, OE Waldorfski vrtec in šola Pomurje",Lendavska ulica 28,9000,Murska Sobota,,,,,,,46.66440,16.16977
OS,429,429,5087287000,sg,Muta,Osnovna šola Muta,Šolska ulica 6,2366,Muta,,,02 887 95 20,02 887 95 33,group1.ossgmu@guest.arnes.si,http://www2.arnes.si/~ossgmu1s,46.60838,15.16253
OS,1312,1312,1193830000,kr,Naklo,Osnovna šola Naklo,Glavna cesta 47,4202,Naklo,,,04 277 01 00,04 277 01 33,tajnistvo@os-naklo.si,http://www.os-naklo.si,46.27250,14.31897
OS,1313,1312,1193830001,kr,Naklo,"Osnovna šola Naklo, Podružnična šola Duplje",Spodnje Duplje 2,4203,Duplje,,,04 257 72 99,01 277 01 00,osnaklo.duplje@guest.arnes.si,http://www.os-naklo.si,46.30287,14.29594
OS,1314,1312,1193830002,kr,Naklo,"Osnovna šola Naklo, Podružnična šola Podbrezje",Podbrezje 120,4202,Naklo,,,04 533 14 22,01 277 01 33,ps.podbrezje@guest.arnes.si,http://www.os-naklo.si,46.30113,14.27618
OS,19790,1312,5642574010,kr,Naklo,"Waldorfska šola Ljubljana, OE Waldorfski vrtec in šola Gorenjska, Enota osnovna šola",Glavna cesta 13,4202,Naklo,,,01 282 22 40,01 282 22 41,,http://www.waldorf-si.org,46.27314,14.31517
OS,1374,1374,1253484000,ce,Nazarje,Osnovna šola Nazarje,Zadrečka cesta 37,3331,Nazarje,,,03 839 13 60,03 839 13 79,os.nazarje@guest.arnes.si,http://www.os-nazarje.si,46.31542,14.94622
OS,1375,1374,1253484001,ce,Nazarje,Osnovna šola Nazarje Podružnica Šmartno ob Dreti,Šmartno ob Dreti 27,3341,Šmartno ob Dreti,,,03 584 51 50,,-,http://glej matično šolo,46.28398,14.88824
OS,371,371,5085799000,ng,Nova Gorica,Osnovna šola Branik,Branik 31,5295,Branik,,,"05 305 78 47, 05 305 78 46",05 305 79 44,o-branik.ng@guest.arnes.si,http://os-branik.si,45.86329,13.78583
OS,364,364,5088992000,ng,Nova Gorica,Osnovna šola Čepovan,Čepovan 87,5253,Čepovan,,,05 307 29 06,05 307 29 07,projekt1.osngcep@guest.arnes.si,http://www2.arnes.si/~osngcep/index/,46.05007,13.79300
OS,370,370,5085802000,ng,Nova Gorica,Osnovna šola Dornberk,Gregorčičeva ulica 30 A,5294,Dornberk,,,05 301 91 00,05 301 91 09,os.dornberk@guest.arnes.si,http://www.os-dornberk.si,45.88694,13.73847
OS,925,370,5085802002,ng,Nova Gorica,Osnovna šola Dornberk Podružnica Prvačina,Prvačina 204,5297,Prvačina,,,05 301 67 20,05 301 91 09,os.dornberk@guest.arnes.si,http://www.os-dornberk.si,45.89000,13.71611
OS,357,357,5221625000,ng,Nova Gorica,Osnovna šola Frana Erjavca Nova Gorica,Kidričeva ulica 36,5000,Nova Gorica,,,05 335 90 50,05 335 90 60,tajnistvo.osngfe@guest.arnes.si,http://www.os-franaerjavca.si/,45.95221,13.64580
OS,358,358,5089352000,ng,Nova Gorica,Osnovna šola Milojke Štrukelj Nova Gorica,Delpinova ulica 7,5000,Nova Gorica,,,05 335 81 00,05 335 81 21,o-ms.ng@guest.arnes.si,http://os-ms.s-tsc.ng.edus.si/,45.95700,13.64486
OS,3547,358,5089352001,ng,Nova Gorica,"Osnovna šola Milojke Štrukelj Nova Gorica, Podružnična osnovna šola Ledine",Cankarjeva ulica 23,5000,Nova Gorica,,,05 333 29 83,,,http://www.o-ms.ng.edus.si/,45.96364,13.64453
OS,359,359,5089042000,ng,Nova Gorica,Osnovna šola Solkan,Šolska ulica 25,5250,Solkan,,,05 330 77 00,05 300 55 14,o-solkan.ng@guest.arnes.si,http://www.sola-solkan.si,45.96906,13.64982
OS,924,359,5089042002,ng,Nova Gorica,"Osnovna šola Solkan, Podružnica Grgar",Grgar 45,5251,Grgar,,84081,05 307 30 14,05 300 55 14,,,45.99862,13.67447
OS,923,359,5089042003,ng,Nova Gorica,"Osnovna šola Solkan, Podružnica Trnovo",Trnovo 41,5252,Trnovo pri Gorici,,,05 307 10 13,05 300 55 14,,http://www.sola-solkan.si,45.97298,13.74146
OS,365,365,5086353000,ng,Nova Gorica,Osnovna šola Šempas,Šempas 76 C,5261,Šempas,,,05 307 71 00,05 307 71 20,os.sempas@guest.arnes.si,http://www.ossempas.si/,45.93185,13.74324
OS,377,377,5086868000,nm,Novo mesto,Osnovna šola Bršljin,Kočevarjeva ulica 40,8000,Novo mesto,,,07 338 14 00,07 332 43 71,info@brsljin.si,http://www.brsljin.si,45.81626,15.15821
OS,383,383,5086361000,nm,Novo mesto,Osnovna šola Brusnice,Velike Brusnice 101,8321,Brusnice,,,"07 334 68 22, 07 334 68 20",07 308 56 14,o-brusnice.nm@guest.arnes.si,http://www.os-brusnice.si,45.81164,15.25666
OS,376,376,5086825000,nm,Novo mesto,Osnovna šola Center Novo mesto,Seidlova cesta 7,8000,Novo mesto,,85030,07 371 90 00,07 371 90 32,o-center.nm@guest.arnes.si,http://www.os-center.si/,45.80686,15.16405
OS,736,376,5086825001,nm,Novo mesto,"Osnovna šola Center Novo mesto, Podružnična šola Mali Slatnik",Mali Slatnik 7,8000,Novo mesto,,,07 334 41 35,,o-center.nm@guest.arnes.si,,45.80919,15.20525
OS,9854,9854,1574710000,nm,Novo mesto,Osnovna šola Drska,Ulica Slavka Gruma 63,8000,Novo mesto,,,07 393 58 60,07 393 58 76,info@os-drska.si,http://www.os-drska.si,45.79427,15.15463
OS,374,374,5086850000,nm,Novo mesto,Osnovna šola Grm Novo mesto,Trdinova ulica 7,8000,Novo mesto,,85040,07 393 59 00,07 393 59 06,o-grm.nm@guest.arnes.si,http://www.osgrm.si/,45.79910,15.17233
OS,372,372,5086264000,nm,Novo mesto,Osnovna šola Otočec,Šolska cesta 20,8222,Otočec,,,07 309 99 00,07 309 99 02,tajnistvo@os-otocec.si,http://www.os-otocec.si,45.83667,15.21472
OS,384,384,5086833000,nm,Novo mesto,Osnovna šola Stopiče,Stopiče 37,8322,Stopiče,,,07 308 09 11,07 308 09 13,os.stopice@guest.arnes.si,http://www.osstopice.si,45.77071,15.21089
OS,739,384,5086833001,nm,Novo mesto,Osnovna šola Stopiče Podružnica Dolž,Šolska cesta 11,8000,Novo mesto,,,07 308 09 20,07 308 09 13,podruznica.dolz@osstopice.si,http://www.osstopice.si,45.76110,15.24940
OS,740,384,5086833002,nm,Novo mesto,Osnovna šola Stopiče Podružnica Podgrad,Podgrad 2,8000,Novo mesto,,85062,07 308 09 22,07 308 09 13,podruznica.podgrad@osstopice.si,http://www.osstopice.si,45.73550,15.20246
OS,375,375,5086841000,nm,Novo mesto,Osnovna šola Šmihel,Šmihel 2,8000,Novo mesto,,79013,07 393 51 00,07 393 51 27,ossmihel.novom@guest.arnes.si,,45.79471,15.16362
OS,738,375,5086841001,nm,Novo mesto,"Osnovna šola Šmihel, Podružnica Birčna vas",Birčna vas 1,8000,Novo mesto,,85081,07 307 95 50,07 307 95 20,irena.hlaca@guest.arnes.si,,45.76079,15.15128
OS,261,261,5089743000,ms,Odranci,Osnovna šola Odranci,Prešernova ulica 1,9233,Odranci,https://www.openstreetmap.org/way/319997020,,02 573 70 10,02 573 70 18,os.odranci@guest.arnes.si,http://www.os-odranci.si/,46.58767,16.27585
OS,472,472,5087660000,mb,Oplotnica,Osnovna šola Pohorskega bataljona Oplotnica,Ulica Pohorskega bataljona 19,2317,Oplotnica,https://www.openstreetmap.org/way/822163285,,02 803 33 50,02 803 33 51,o-pobaoplot.mb@guest.arnes.si,http://www.osoplotnica.si/,46.38758,15.44922
