date,date.to,municipality,type,school,unit,confirmed,confirmed.attendee,confirmed.employees,description,source,openstreetmap,geo-longitude,geo-latitude
2020-10-12,,Grosuplje,OŠ,OŠ Louisa Adamiča,,1,,1,1 zaposlena,http://www.oslag.si/pojav-okuzbe-s-covid-19-na-soli/,,45.953209,14.654363
2020-10-12,,Škofljica,OŠ ,OŠ Škofljica,,,,,"3 oddelki se vracajo, 4 zacenjajo",https://www.os-skofljica.si/novice/obvestilo-slabsanje-razmer/31059/,,45.979294,14.574607
2020-10-12,2020-10-18,Ljubljana,OŠ,OŠ Majde Vrhovnik,,1,1,,7.a + 4 učenci 7.b,http://www.os-majdevrhovnik.si/?p=3210,,46.048915,14.499318
2020-10-12,,Vodice,Vrtec,Vrtec Škratek Svit,,1,,1,skupine sove in medvedki,https://www.vrtec-vodice.si/pomembno-obvestilo-karantena-se-za-otroke-iz-skupin-sove-in-medvedi-zacne-jutri-13-10-vzrok-je-potrditev-okuzbe-pri-vzgojiteljici-otroci-ostanejo-doma-po-e-posti-boste-od-nijz-prejeli-odlocbo-o/,,46.18401,14.49783
2020-10-12,,Ljubljana,SŠ,Waldorfska šola Ljubljana,Waldorfska gimnazija,,,,3. letnik,preko dijakov (LukaR),,46.048773,14.511999
2020-10-12,2020-10-17,Hoče-Slivnica,OŠ,OŠ Dušana Flisa,,0,0,0,ena okužba en oddelek,http://www.os-hoce.si/2020/10/13/obvestilo-2/,,46.497105,15.643017
2020-10-12,,Kočevje,Vrtec,Vrtec Kočevje,enota Čebelica,1,1,,en oddelek,https://e-utrip.si/novi-pozitivni-primeri-na-covid-19-v-kocevju-dva-razreda-ucencev-in-ena-vrtcevska-skupina-ostali-doma/,,45.6424163,14.8551804
2020-10-12,,Škofja Loka,OŠ,OŠ Ivana Groharja,Podlubnik,4,1,3,vec uciteljev,http://www.groharca.si/priporocila-za-preprecevanje-sirjenja-virusa-covid-19/,,46.16996,14.2998
2020-10-13,,Muta,OŠ,OŠ Muta,,1,1,,en razred,https://www.osmuta.si/?cat=12,,46.60846,15.16241
2020-10-13,,Ljubljana,OŠ,OŠ Savsko Naselje,,1,1,,8b karantena,Starši (Kesma),,46.06421,14.52031
2020-10-13,,Kostanjevica na Krki,OŠ,OŠ Jožeta Gorjupa,,1,1,,4a ,https://www.osgorjup.si/2020/10/13/okuzba-s-covid-19/,,45.84379,15.42335
2020-10-13,,Novo Mesto,OŠ,OŠ Drska,,1,1,,,http://www.os-drska.si/drska/?p=22787,,45.79432,15.15465
2020-10-13,,Tišina,OŠ ,OŠ Tišina,,2,2,,2 razreda in dve učiteljici v karamteni,https://mariborinfo.com/novica/lokalno/v-karanteni-skoraj-vsa-sola-pouk-obiskujeta-le-dva-razreda/340101,,46.65562,16.09343
2020-10-13,,Šalovci,OŠ,OŠ Šalovci,,5,,5,7 razredov,https://mariborinfo.com/novica/lokalno/v-karanteni-skoraj-vsa-sola-pouk-obiskujeta-le-dva-razreda/340101,,46.82213,16.27721
2020-10-13,,Tržič,Vrtec,Vrteč Tržič,enota Plaček,1,,1,en oddelek,http://www.vrtec-trzic.si/obvestilo-za-starse-enota-palcek/,,46.35893,14.2979
2020-10-14,,Ljutomer,OŠ,OŠ Mala Nedelja,,5,1,4,drugi razred,https://sobotainfo.com/novica/lokalno/nove-okuzbe-na-pomurskih-solah-na-eni-okuzeni-stirje-zaposleni-ucenec-na-drugi,,46.52538,16.05486
2020-10-14,,Murska Sobota,OŠ,OŠ Krog,,1,,1,,https://sobotainfo.com/novica/lokalno/nove-okuzbe-na-pomurskih-solah-na-eni-okuzeni-stirje-zaposleni-ucenec-na-drugi,,46.63347,16.13779
2020-10-14,,Črnomelj,Vrtec,Vrtec Otona Župančiča,enota Loka,1,,1,,https://www.vrtec-crnomelj.si/pomembno-obvestilo-za-starse-2/,,45.5651919,15.189649
2020-10-15,,Ptuj,OŠ,OŠ Ljudski Vrt,,2,,2,4 učiteljice in 2c in 4c v karanteno,https://ptujinfo.com/novica/lokalno/se-ena-okuzba-med-ptujskimi-ucitelji-sola-zavraca-ocitke/150459,,46.42878,15.87757
2020-10-15,,Podlehnik,Vrtec,Vrtec OŠ Podlehnik,enota Zvezdice,,,,1 učiteljica in en eddelek,https://ptujinfo.com/novica/lokalno/se-ena-okuzba-med-ptujskimi-ucitelji-sola-zavraca-ocitke/150459,,46.33495,15.88228
2020-10-15,2020-10-21,Gorišnica,OŠ,OŠ Gorišnica,,1,,1,2a in 2b,https://osgorisnica.eu/,,46.40806,16.014
2020-10-15,,Jesenice,Vrtec,Vrtec Jesenice,,1,,1,ena skupina in ena strokovna sodelavka,https://vrtecjesenice.si/potrjena-okuzba-s-koronavirusom-v-vrtcu-2/,,46.44021,14.03985
2020-10-16,,Slovenj Gradec,Vrtec,VVZ Slovenj Gradec,Enota Škratica Mica in enota Škrat Bučko,2,,2,2 skupini + 10 otrok in ena sodelavka,https://www.koroskenovice.si/novice/okuzbo-potrdili-tudi-pri-dveh-zaposlenih-v-dveh-slovenjgraskih-vrtcih/,,46.49294,15.10841
2020-10-16,,Ljubljana,OŠ,OŠ Bežigrad,,1,1,,en razred,http://www.osbezigrad.com/novice/okuzba-v-7a/,,46.06186,14.51844
2020-10-18,2020-10-26,Ljubljana,Vrtec,Vrtec Mladi Rod,Paviljon Veternica,2,,2,Paviljon A zaprt (3-4 oddelkov),https://www.vrtec-mladirod.si/wp-content/uploads/2020/10/Dopis-starsi-A-paviljon-spletna-stran.pdf,,46.06262,14.51854
2020-10-19,,Puconci,OŠ,OŠ Puconci,,5,,5,50 učencev,https://vestnik.si/clanek/aktualno/koronavirus-kroji-pouk-tudi-na-puconski-osnovni-soli-819055,,46.70183,16.15683
2020-10-19,,Radenci,OŠ,Kajetana Koviča,,1,,1,,http://www.os-radenci.si/index.php/napovednik-2,,46.64308,16.0383
2020-10-19,2020-10-23,Sodražica,OŠ ,OŠ Ivana Prijatelja,,0,,,10% vseh učencev?!!!!,https://www.ribnica24.eu/sodrazica/v-sodrazici-doma-ostajajo-vsi-ucenci/,,45.763114,14.632685
2020-10-20,,Maribor,Vrtec,Vrtec Ivana Glinška,več enot,,,,"ptrpk, več strokovnik delavk",preko staršev (MarkoB),,46.560584,15.642518
